                            Measure         Value
logl                           logl -9.493367e+04
unrestricted.logl unrestricted.logl -9.355523e+04
baseline.logl         baseline.logl -1.166136e+05
nvar                           nvar  9.000000e+00
nobs                           nobs  9.000000e+01
npar                           npar  4.600000e+01
df                               df  4.400000e+01
objective                 objective  8.154762e+00
chisq                         chisq  2.756879e+03
pvalue                       pvalue  0.000000e+00
baseline.chisq       baseline.chisq  4.611672e+04
baseline.npar         baseline.npar  1.800000e+01
baseline.df             baseline.df  7.200000e+01
baseline.pvalue     baseline.pvalue  0.000000e+00
nfi                             nfi  9.402195e-01
pnfi                           pnfi  5.745786e-01
tli                             tli  9.035882e-01
nnfi                           nnfi  9.035882e-01
rfi                             rfi  9.021774e-01
ifi                             ifi  9.411175e-01
rni                             rni  9.410817e-01
cfi                             cfi  9.410817e-01
rmsea                         rmsea  7.277536e-02
rmsea.ci.lower       rmsea.ci.lower  7.048121e-02
rmsea.ci.upper       rmsea.ci.upper  7.509588e-02
rmsea.pvalue           rmsea.pvalue  0.000000e+00
srmr                           srmr  2.086921e-01
aic.ll                       aic.ll  1.899593e+05
aic.ll2                     aic.ll2  1.899595e+05
aic.x                         aic.x  2.668879e+03
aic.x2                       aic.x2  2.848879e+03
bic                             bic  1.903299e+05
bic2                           bic2  1.901837e+05
ebic.25                     ebic.25  1.904310e+05
ebic.5                       ebic.5  1.905320e+05
ebic.75                     ebic.75  1.906129e+05
ebic1                         ebic1  1.907342e+05
