                            Measure         Value
logl                           logl -9.360070e+04
unrestricted.logl unrestricted.logl -9.355523e+04
baseline.logl         baseline.logl -1.166136e+05
nvar                           nvar  9.000000e+00
nobs                           nobs  9.000000e+01
npar                           npar  5.500000e+01
df                               df  3.500000e+01
objective                 objective  8.040261e+00
chisq                         chisq  9.093955e+01
pvalue                       pvalue  7.254194e-07
baseline.chisq       baseline.chisq  4.611672e+04
baseline.npar         baseline.npar  1.800000e+01
baseline.df             baseline.df  7.200000e+01
baseline.pvalue     baseline.pvalue  0.000000e+00
nfi                             nfi  9.980281e-01
pnfi                           pnfi  4.851525e-01
tli                             tli  9.975008e-01
nnfi                           nnfi  9.975008e-01
rfi                             rfi  9.959434e-01
ifi                             ifi  9.987861e-01
rni                             rni  9.987851e-01
cfi                             cfi  9.987851e-01
rmsea                         rmsea  1.171712e-02
rmsea.ci.lower       rmsea.ci.lower  8.792799e-03
rmsea.ci.upper       rmsea.ci.upper  1.470042e-02
rmsea.pvalue           rmsea.pvalue  1.000000e+00
srmr                           srmr  7.801988e-03
aic.ll                       aic.ll  1.873114e+05
aic.ll2                     aic.ll2  1.873117e+05
aic.x                         aic.x  2.093955e+01
aic.x2                       aic.x2  2.009396e+02
bic                             bic  1.877544e+05
bic2                           bic2  1.875797e+05
ebic.25                     ebic.25  1.878753e+05
ebic.5                       ebic.5  1.879961e+05
ebic.75                     ebic.75  1.880928e+05
ebic1                         ebic1  1.882378e+05
