                            Measure         Value
logl                           logl -9.355523e+04
unrestricted.logl unrestricted.logl -9.355523e+04
baseline.logl         baseline.logl -1.166136e+05
nvar                           nvar  9.000000e+00
nobs                           nobs  9.000000e+01
npar                           npar  9.000000e+01
df                               df  0.000000e+00
objective                 objective  8.036355e+00
chisq                         chisq  0.000000e+00
pvalue                       pvalue  1.000000e+00
baseline.chisq       baseline.chisq  4.611672e+04
baseline.npar         baseline.npar  1.800000e+01
baseline.df             baseline.df  7.200000e+01
baseline.pvalue     baseline.pvalue  0.000000e+00
nfi                             nfi  1.000000e+00
pnfi                           pnfi  0.000000e+00
tli                             tli           NaN
nnfi                           nnfi  1.000000e+00
rfi                             rfi           NaN
ifi                             ifi  1.000000e+00
rni                             rni  1.000000e+00
cfi                             cfi  1.000000e+00
rmsea                         rmsea            NA
rmsea.ci.lower       rmsea.ci.lower  0.000000e+00
rmsea.ci.upper       rmsea.ci.upper  0.000000e+00
rmsea.pvalue           rmsea.pvalue  0.000000e+00
srmr                           srmr  1.443405e-04
aic.ll                       aic.ll  1.872905e+05
aic.ll2                     aic.ll2  1.872912e+05
aic.x                         aic.x  0.000000e+00
aic.x2                       aic.x2  1.800000e+02
bic                             bic  1.880154e+05
bic2                           bic2  1.877294e+05
ebic.25                     ebic.25  1.882132e+05
ebic.5                       ebic.5  1.884109e+05
ebic.75                     ebic.75  1.885691e+05
ebic1                         ebic1  1.888064e+05
