"var1","var1_id","op","var2","var2_id","est","std","se","p","se_boot","p_boot","matrix","row","col","par","group","group_id","fixed","mi","pmi","epc","mi_free","pmi_free","epc_free","mi_equal","pmi_equal","epc_equal","minimum","maximum","identified","penalty_lambda","model"
"anh",1,"~1",,,-2.26580759562463,,0.0361662395746361,0,,,"tau",1,1,1,"Low Slow Risk",1,FALSE,7.8074e-06,0.9977705815,-3.98309e-05,372.2359116107,0,,7.8074e-06,0.9977705815,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"dep",2,"~1",,,-3.73487942628696,,0.0550071849242889,0,,,"tau",2,1,2,"Low Slow Risk",1,FALSE,1.7332e-06,0.9989495844,1.99511e-05,577.273618077,0,,1.7332e-06,0.9989495844,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"slp",3,"~1",,,-1.94629399138081,,0.0327470238766163,0,,,"tau",3,1,3,"Low Slow Risk",1,FALSE,1.80853e-05,0.9966068593,-6.05857e-05,217.5627867002,0,,1.80853e-05,0.9966068593,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"ene",4,"~1",,,-1.34851281269046,,0.0273877735242158,0,,,"tau",4,1,4,"Low Slow Risk",1,FALSE,6.20353e-05,0.9937157288,-0.000115885,195.2527296094,0,,6.20353e-05,0.9937157288,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"app",5,"~1",,,-2.76631429786658,,0.042082993302159,0,,,"tau",5,1,5,"Low Slow Risk",1,FALSE,1.921e-07,0.999650273,6.4713e-06,303.2011177162,0,,1.921e-07,0.999650273,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"glt",6,"~1",,,-3.65470061350541,,0.056864332828923,0,,,"tau",6,1,6,"Low Slow Risk",1,FALSE,1.29e-08,0.9999094215,1.93e-06,308.3953892939,0,,1.29e-08,0.9999094215,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"con",7,"~1",,,-3.25204478534131,,0.0498099001094394,0,,,"tau",7,1,7,"Low Slow Risk",1,FALSE,3.50293e-05,0.9952777056,9.45856e-05,301.2366774072,0,,3.50293e-05,0.9952777056,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"mot",8,"~1",,,-4.21681879719707,,0.069104814431478,0,,,"tau",8,1,8,"Low Slow Risk",1,FALSE,2.0767e-06,0.9988501942,-2.66214e-05,482.6711322917,0,,2.0767e-06,0.9988501942,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"sui",9,"~1",,,-5.75138552683547,,0.121751948858443,0,,,"tau",9,1,9,"Low Slow Risk",1,FALSE,2.04537e-05,0.9963915159,0.0001247188,231.8773828606,0,,2.04537e-05,0.9963915159,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"dep",2,"--","anh",1,2.05554652445341,,0.0504187234153213,0,,,"omega",2,1,10,"Low Slow Risk",1,FALSE,1.66506e-05,0.9967442249,6.39131e-05,693.7599179863,0,,1.66506e-05,0.9967442249,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"slp",3,"--","anh",1,0.529718882673686,,0.04060878878114,6.83579841809824e-39,,,"omega",3,1,11,"Low Slow Risk",1,FALSE,1.497e-07,0.9996913222,-5.7741e-06,545.6031592866,0,,1.497e-07,0.9996913222,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"ene",4,"--","anh",1,1.43364220124972,,0.0436304557892106,8.54235186068032e-237,,,"omega",4,1,12,"Low Slow Risk",1,FALSE,7.0722e-06,0.9978781469,3.8261e-05,490.2665318681,0,,7.0722e-06,0.9978781469,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"app",5,"--","anh",1,0.69379416824678,,0.042570748860831,1.02915448307478e-59,,,"omega",5,1,13,"Low Slow Risk",1,FALSE,6.1307e-06,0.9980244131,3.91857e-05,507.4668421421,0,,6.1307e-06,0.9980244131,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"glt",6,"--","anh",1,0.4672378375273,,0.0573980083972291,3.94252586388404e-16,,,"omega",6,1,14,"Low Slow Risk",1,FALSE,2.77341e-05,0.9957981069,9.56677e-05,450.6973916277,0,,2.77341e-05,0.9957981069,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"con",7,"--","anh",1,0.48677494742745,,0.0499789705631114,2.04366586901193e-22,,,"omega",7,1,15,"Low Slow Risk",1,FALSE,2.0148e-06,0.9988674676,2.45082e-05,496.2072209291,0,,2.0148e-06,0.9988674676,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"mot",8,"--","anh",1,0.235036777035148,,0.0634642640283805,0.000212686476571158,,,"omega",8,1,16,"Low Slow Risk",1,FALSE,6.7851e-06,0.9979216603,-5.17043e-05,587.7403815769,0,,6.7851e-06,0.9979216603,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"sui",9,"--","anh",1,0.190134178994864,,0.111313532330409,0.0876185648765577,,,"omega",9,1,17,"Low Slow Risk",1,FALSE,2.5509e-06,0.9987256519,-4.63175e-05,265.1094687792,0,,2.5509e-06,0.9987256519,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"slp",3,"--","dep",2,0.696655936263444,,0.0462697502643673,3.13387049726181e-51,,,"omega",3,2,18,"Low Slow Risk",1,FALSE,2.7381e-06,0.9986797306,-2.68423e-05,699.030562684,0,,2.7381e-06,0.9986797306,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"ene",4,"--","dep",2,0.520470594387643,,0.057414900814235,1.2451433389053e-19,,,"omega",4,2,19,"Low Slow Risk",1,FALSE,4.80419e-05,0.994469728,0.0001080321,681.4494771326,0,,4.80419e-05,0.994469728,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"app",5,"--","dep",2,0.394485588222199,,0.044373676687918,6.10642762053846e-19,,,"omega",5,2,20,"Low Slow Risk",1,FALSE,3.30598e-05,0.9954123786,-9.99978e-05,631.2166540583,0,,3.30598e-05,0.9954123786,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"glt",6,"--","dep",2,1.30868722655137,,0.0505067099138729,4.98607458563291e-148,,,"omega",6,2,21,"Low Slow Risk",1,FALSE,3.5742e-05,0.9952299084,-0.0001130093,486.1383195744,0,,3.5742e-05,0.9952299084,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"con",7,"--","dep",2,0.474397916279368,,0.047968679682739,4.61210188847787e-23,,,"omega",7,2,22,"Low Slow Risk",1,FALSE,1.0341e-06,0.999188644,1.89379e-05,598.7964298771,0,,1.0341e-06,0.999188644,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"mot",8,"--","dep",2,0.77295566944729,,0.0567525828286258,3.05635734816224e-42,,,"omega",8,2,23,"Low Slow Risk",1,FALSE,4.2228e-06,0.9983603885,-4.2832e-05,634.3956404241,0,,4.2228e-06,0.9983603885,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
"sui",9,"--","dep",2,1.76567300819305,,0.109621189037867,2.27659605822805e-58,,,"omega",9,2,24,"Low Slow Risk",1,FALSE,2.9551e-06,0.9986284092,-4.97787e-05,264.1396799396,0,,2.9551e-06,0.9986284092,,-Inf,Inf,FALSE,0,"equal_J_equal_h"
