"var1","var1_id","op","var2","var2_id","est","std","se","p","se_boot","p_boot","matrix","row","col","par","group","group_id","fixed","mi","pmi","epc","mi_free","pmi_free","epc_free","mi_equal","pmi_equal","epc_equal","minimum","maximum","identified","penalty_lambda","model"
"anh",1,"~1",,,-2.15776410906482,,0.0355785099813721,0,,,"tau",1,1,1,"Low Slow Risk",1,FALSE,0.0002217605,0.9881186405,0.0002832862,0.0002217605,0.9881186405,,0.0002217605,0.9881186405,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"dep",2,"~1",,,-3.541504591217,,0.0526012752294593,0,,,"tau",2,1,2,"Low Slow Risk",1,FALSE,1.97727e-05,0.9964521018,0.0001017754,1.97727e-05,0.9964521018,,1.97727e-05,0.9964521018,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"slp",3,"~1",,,-1.80434604452565,,0.0321530368616713,0,,,"tau",3,1,3,"Low Slow Risk",1,FALSE,0.0001377864,0.9906344499,0.0002206297,0.0001377864,0.9906344499,,0.0001377864,0.9906344499,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"ene",4,"~1",,,-1.25974368304795,,0.0278884665749235,0,,,"tau",4,1,4,"Low Slow Risk",1,FALSE,6.4634e-06,0.9979715218,4.71129e-05,6.4634e-06,0.9979715218,,6.4634e-06,0.9979715218,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"app",5,"~1",,,-2.58733919210679,,0.0402256144228718,0,,,"tau",5,1,5,"Low Slow Risk",1,FALSE,1.66e-08,0.9998971327,2.6766e-06,1.66e-08,0.9998971327,,1.66e-08,0.9998971327,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"glt",6,"~1",,,-3.32896683145489,,0.0523156678217132,0,,,"tau",6,1,6,"Low Slow Risk",1,FALSE,5.57488e-05,0.9940426399,-0.0001977912,5.57488e-05,0.9940426399,,5.57488e-05,0.9940426399,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"con",7,"~1",,,-2.99836985318761,,0.0465080668368608,0,,,"tau",7,1,7,"Low Slow Risk",1,FALSE,0.0003724773,0.984602046,0.000461614,0.0003724773,0.984602046,,0.0003724773,0.984602046,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"mot",8,"~1",,,-4.00575412415554,,0.0648285486691314,0,,,"tau",8,1,8,"Low Slow Risk",1,FALSE,0.0003951792,0.9841398054,0.0006436911,0.0003951792,0.9841398054,,0.0003951792,0.9841398054,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"sui",9,"~1",,,-5.22235269016728,,0.108206122495898,0,,,"tau",9,1,9,"Low Slow Risk",1,FALSE,0.0007632069,0.9779602861,-0.0015237263,0.0007632069,0.9779602861,,0.0007632069,0.9779602861,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"dep",2,"--","anh",1,1.79710746247102,,0.0453986404745785,0,,,"omega",2,1,10,"Low Slow Risk",1,FALSE,1.87e-07,0.9996549821,-6.2475e-06,0.0003982488,0.9840783349,,1.87e-07,0.9996549821,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"slp",3,"--","anh",1,0.483484626105626,,0.0367713705892877,1.73817473979351e-39,,,"omega",3,1,11,"Low Slow Risk",1,FALSE,2.58e-06,0.9987184064,2.20332e-05,0.5155597327,0.4727419444,,2.58e-06,0.9987184064,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"ene",4,"--","anh",1,1.28596801479733,,0.0396716951186448,1.67347759493849e-230,,,"omega",4,1,12,"Low Slow Risk",1,FALSE,0.0001110618,0.9915915808,0.00014058,0.0943925374,0.7586655074,,0.0001110618,0.9915915808,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"app",5,"--","anh",1,0.60329129989465,,0.0384622804958694,1.90746760986963e-55,,,"omega",5,1,13,"Low Slow Risk",1,FALSE,1.20438e-05,0.9972310156,-5.01596e-05,0.5166656051,0.4722675161,,1.20438e-05,0.9972310156,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"glt",6,"--","anh",1,0.406688212767347,,0.0512694511222408,2.15004195256798e-15,,,"omega",6,1,14,"Low Slow Risk",1,FALSE,0.0001272124,0.9910009738,0.0001844611,0.6532854015,0.4189405061,,0.0001272124,0.9910009738,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"con",7,"--","anh",1,0.426888986941394,,0.044888976858992,1.90874275221091e-21,,,"omega",7,1,15,"Low Slow Risk",1,FALSE,8.54247e-05,0.9926256197,-0.0001443933,0.0560763788,0.812808448,,8.54247e-05,0.9926256197,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"mot",8,"--","anh",1,0.145142017077777,,0.0564367999470212,0.0101182425364054,,,"omega",8,1,16,"Low Slow Risk",1,FALSE,9.64908e-05,0.9921625295,0.0001748988,0.1782387512,0.6728912193,,9.64908e-05,0.9921625295,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"sui",9,"--","anh",1,0.118401144453709,,0.0976328455057945,0.225237517158529,,,"omega",9,1,17,"Low Slow Risk",1,FALSE,0.0007510317,0.9781367442,-0.0006909512,0.2690981362,0.6039373926,,0.0007510317,0.9781367442,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"slp",3,"--","dep",2,0.622961536237043,,0.0415045903631247,6.36627890629033e-51,,,"omega",3,2,18,"Low Slow Risk",1,FALSE,3.30411e-05,0.995413675,-8.53491e-05,1.342169323,0.2466517658,,3.30411e-05,0.995413675,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"ene",4,"--","dep",2,0.455639586060875,,0.0513553787261371,7.16597300329136e-19,,,"omega",4,2,19,"Low Slow Risk",1,FALSE,4.31788e-05,0.994757092,-9.44877e-05,0.0180805646,0.8930356843,,4.31788e-05,0.994757092,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"app",5,"--","dep",2,0.31267481983532,,0.0398112889161793,4.03220102775676e-15,,,"omega",5,2,20,"Low Slow Risk",1,FALSE,6.2229e-06,0.9980096207,-3.9434e-05,0.3356483595,0.5623519066,,6.2229e-06,0.9980096207,,-Inf,Inf,FALSE,0,"equal_J_free_h"
"glt",6,"--","dep",2,1.13169078612787,,0.0452388294886481,4.10335768183181e-138,,,"omega",6,2,21,"Low Slow Risk",1,FALSE,0.0001015101,0.9919612724,0.0001713736,3.3541683769,0.0670350623,,0.0001015101,0.9919612724,,-Inf,Inf,FALSE,0,"equal_J_free_h"
