"var1","var1_id","op","var2","var2_id","est","std","se","p","se_boot","p_boot","matrix","row","col","par","group","group_id","fixed","mi","pmi","epc","mi_free","pmi_free","epc_free","mi_equal","pmi_equal","epc_equal","minimum","maximum","identified","penalty_lambda","model"
"anh",1,"~1",,,-2.13280797048955,,0.0345551327044903,0,,,"tau",1,1,1,"Low Slow Risk",1,FALSE,1.64092e-05,0.9967679126,5.6852e-05,0.358579065,0.5492964474,,1.64092e-05,0.9967679126,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"dep",2,"~1",,,-3.47457504570005,,0.0520289279427446,0,,,"tau",2,1,2,"Low Slow Risk",1,FALSE,2.09952e-05,0.9963440669,6.90676e-05,0.0863771669,0.7688343741,,2.09952e-05,0.9963440669,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"slp",3,"~1",,,-1.84801777992584,,0.0315602601861381,0,,,"tau",3,1,3,"Low Slow Risk",1,FALSE,3.0264e-05,0.9956106433,7.64966e-05,1.9989558368,0.1574076095,,3.0264e-05,0.9956106433,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"ene",4,"~1",,,-1.28574838450769,,0.0265623134924018,0,,,"tau",4,1,4,"Low Slow Risk",1,FALSE,1.74132e-05,0.9966705101,5.98996e-05,0.0068471356,0.9340523781,,1.74132e-05,0.9966705101,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"app",5,"~1",,,-2.60150464247129,,0.0402193069176586,0,,,"tau",5,1,5,"Low Slow Risk",1,FALSE,0.0004613289,0.9828639003,0.0003099278,0.0204480073,0.8862929224,,0.0004613289,0.9828639003,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"glt",6,"~1",,,-3.42981113019622,,0.0540296214002986,0,,,"tau",6,1,6,"Low Slow Risk",1,FALSE,5.27909e-05,0.9942028316,0.0001203646,0.0104321772,0.918647115,,5.27909e-05,0.9942028316,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"con",7,"~1",,,-3.05346544694333,,0.0475350303012259,0,,,"tau",7,1,7,"Low Slow Risk",1,FALSE,2.91208e-05,0.9956943376,-8.41437e-05,0.0145639509,0.9039435541,,2.91208e-05,0.9956943376,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"mot",8,"~1",,,-3.88849571228741,,0.0651183619636505,0,,,"tau",8,1,8,"Low Slow Risk",1,FALSE,1.13759e-05,0.9973088825,6.11394e-05,0.3159686409,0.5740404763,,1.13759e-05,0.9973088825,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"sui",9,"~1",,,-5.28526849005647,,0.112925861354353,0,,,"tau",9,1,9,"Low Slow Risk",1,FALSE,8.54305e-05,0.9926253665,0.0002447991,0.0194602848,0.8890549574,,8.54305e-05,0.9926253665,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"dep",2,"--","anh",1,1.73230865349725,,0.0634585682545566,4.44791692365448e-164,,,"omega",2,1,10,"Low Slow Risk",1,FALSE,5.2493e-06,0.9981719339,-5.66072e-05,5.2493e-06,0.9981719339,,5.2493e-06,0.9981719339,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"slp",3,"--","anh",1,0.46156296679422,,0.0491132907030071,5.56502722178992e-21,,,"omega",3,1,11,"Low Slow Risk",1,FALSE,3.79033e-05,0.9950878052,0.0001340879,3.79033e-05,0.9950878052,,3.79033e-05,0.9950878052,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"ene",4,"--","anh",1,1.26735106255146,,0.0484297309335835,6.01225545677143e-151,,,"omega",4,1,12,"Low Slow Risk",1,FALSE,3.23866e-05,0.9954593277,-0.0001135387,3.23866e-05,0.9954593277,,3.23866e-05,0.9954593277,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"app",5,"--","anh",1,0.662757454308054,,0.0530310982013083,7.70121180670817e-36,,,"omega",5,1,13,"Low Slow Risk",1,FALSE,3.96719e-05,0.9949745043,-0.0001522167,3.96719e-05,0.9949745043,,3.96719e-05,0.9949745043,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"glt",6,"--","anh",1,0.431582393646797,,0.0747900203080491,7.89953991912695e-09,,,"omega",6,1,14,"Low Slow Risk",1,FALSE,4.9729e-06,0.9982207187,-6.78961e-05,4.9729e-06,0.9982207187,,4.9729e-06,0.9982207187,,-Inf,Inf,FALSE,0,"free_J_equal_h"
"con",7,"--","anh",1,0.427133786941609,,0.0637035030131008,2.01367415534707e-11,,,"omega",7,1,15,"Low Slow Risk",1,FALSE,6.21e-08,0.999801148,7.0444e-06,6.21e-08,0.999801148,,6.21e-08,0.999801148,,-Inf,Inf,FALSE,0,"free_J_equal_h"
