"var1","var1_id","op","var2","var2_id","est","std","se","p","se_boot","p_boot","matrix","row","col","par","group","group_id","fixed","mi","pmi","epc","mi_free","pmi_free","epc_free","mi_equal","pmi_equal","epc_equal","minimum","maximum","identified","penalty_lambda","model"
"anh",1,"~1",,,-2.18781578741951,,0.0431278187498941,0,,,"tau",1,1,1,"Low Slow Risk",1,FALSE,1.5598e-06,0.9990035045,-2.37576e-05,1.5598e-06,0.9990035045,,1.5598e-06,0.9990035045,,-Inf,Inf,FALSE,0,"free_J_free_h"
"dep",2,"~1",,,-3.52333545770144,,0.0664884196846786,0,,,"tau",2,1,2,"Low Slow Risk",1,FALSE,5.2e-09,0.9999421946,1.6582e-06,5.2e-09,0.9999421946,,5.2e-09,0.9999421946,,-Inf,Inf,FALSE,0,"free_J_free_h"
"slp",3,"~1",,,-1.73732420057744,,0.037297762459639,0,,,"tau",3,1,3,"Low Slow Risk",1,FALSE,4.93335e-05,0.9943958788,-0.0001320133,4.93335e-05,0.9943958788,,4.93335e-05,0.9943958788,,-Inf,Inf,FALSE,0,"free_J_free_h"
"ene",4,"~1",,,-1.27819434742589,,0.0323730483103355,0,,,"tau",4,1,4,"Low Slow Risk",1,FALSE,7.152e-06,0.9978662052,4.95589e-05,7.152e-06,0.9978662052,,7.152e-06,0.9978662052,,-Inf,Inf,FALSE,0,"free_J_free_h"
"app",5,"~1",,,-2.58405357383314,,0.0494842587326881,0,,,"tau",5,1,5,"Low Slow Risk",1,FALSE,5.8099e-06,0.9980767942,5.00419e-05,5.8099e-06,0.9980767942,,5.8099e-06,0.9980767942,,-Inf,Inf,FALSE,0,"free_J_free_h"
"glt",6,"~1",,,-3.40184163747774,,0.067539313513707,0,,,"tau",6,1,6,"Low Slow Risk",1,FALSE,3.46794e-05,0.9953013496,-0.0001560024,3.46794e-05,0.9953013496,,3.46794e-05,0.9953013496,,-Inf,Inf,FALSE,0,"free_J_free_h"
"con",7,"~1",,,-3.03005914499204,,0.0589616846947578,0,,,"tau",7,1,7,"Low Slow Risk",1,FALSE,3.05121e-05,0.9955926852,0.0001321052,3.05121e-05,0.9955926852,,3.05121e-05,0.9955926852,,-Inf,Inf,FALSE,0,"free_J_free_h"
"mot",8,"~1",,,-4.02233559971376,,0.0878840698428987,0,,,"tau",8,1,8,"Low Slow Risk",1,FALSE,8.904e-07,0.9992471288,-3.05451e-05,8.904e-07,0.9992471288,,8.904e-07,0.9992471288,,-Inf,Inf,FALSE,0,"free_J_free_h"
"sui",9,"~1",,,-5.33341553336451,,0.156528768510179,1.84861955690571e-254,,,"tau",9,1,9,"Low Slow Risk",1,FALSE,6.1348e-06,0.998023762,0.0001367179,6.1348e-06,0.998023762,,6.1348e-06,0.998023762,,-Inf,Inf,FALSE,0,"free_J_free_h"
"dep",2,"--","anh",1,1.77027145943545,,0.0662898583912683,4.11643895875536e-157,,,"omega",2,1,10,"Low Slow Risk",1,FALSE,3.3413e-06,0.998541537,4.51637e-05,3.3413e-06,0.998541537,,3.3413e-06,0.998541537,,-Inf,Inf,FALSE,0,"free_J_free_h"
