"Symptom_1","Symptom_2","Edge_Low_Slow_Risk","Edge_High_Slow_Risk","Difference_High_minus_Low","Absolute_difference","P_unadjusted","P_Holm"
"Guilt","Psychomotor change",0.470657211672138,0.781702105107454,0.311044893435315,0.311044893435315,0.000999000999000999,0.035964035964036
"Depressed mood","Guilt",1.33940639763803,1.02013992074266,-0.319266476895371,0.319266476895371,0.001998001998002,0.0699300699300699
"Depressed mood","Sleep problems",0.505294167799905,0.732335826991363,0.227041659191458,0.227041659191458,0.00599400599400599,0.203796203796204
"Appetite change","Concentration problems",0.311154199963674,0.522338050664732,0.211183850701057,0.211183850701057,0.00899100899100899,0.296703296703297
"Guilt","Concentration problems",0.559908021659488,0.786439036303207,0.226531014643719,0.226531014643719,0.012987012987013,0.415584415584416
"Sleep problems","Appetite change",0.519888500131427,0.701571204196277,0.18168270406485,0.18168270406485,0.013986013986014,0.433566433566434
"Sleep problems","Low energy",1.26607864149243,1.42062629998555,0.154547658493126,0.154547658493126,0.046953046953047,1
"Low energy","Concentration problems",0.787368814442219,0.60997263886827,-0.177396175573949,0.177396175573949,0.0889110889110889,1
"Sleep problems","Psychomotor change",0.416557915770383,0.247754399903265,-0.168803515867118,0.168803515867118,0.115884115884116,1
"Anhedonia","Depressed mood",1.73231626187417,1.88284955261704,0.150533290742866,0.150533290742866,0.11988011988012,1
"Depressed mood","Suicidality",1.62955562968023,1.33269056082373,-0.296865068856497,0.296865068856497,0.128871128871129,1
"Anhedonia","Sleep problems",0.434986508688435,0.546721474711958,0.111734966023523,0.111734966023523,0.133866133866134,1
"Depressed mood","Appetite change",0.405728824715028,0.288285767409117,-0.117443057305911,0.117443057305911,0.137862137862138,1
"Sleep problems","Suicidality",0,0.276624416957299,0.276624416957299,0.276624416957299,0.192807192807193,1
"Anhedonia","Appetite change",0.655001379219156,0.55574778132836,-0.0992535978907964,0.0992535978907964,0.208791208791209,1
"Low energy","Guilt",0.418265971033361,0.278044497062238,-0.140221473971124,0.140221473971124,0.231768231768232,1
"Appetite change","Guilt",0.453436576787375,0.552654437541024,0.0992178607536491,0.0992178607536491,0.24975024975025,1
"Low energy","Psychomotor change",0.460978562159542,0.604682131017533,0.143703568857991,0.143703568857991,0.32967032967033,1
"Depressed mood","Low energy",0.420084215286981,0.529041723507108,0.108957508220127,0.108957508220127,0.330669330669331,1
"Psychomotor change","Suicidality",0.773154821222235,0.888413209681084,0.115258388458849,0.115258388458849,0.378621378621379,1
"Anhedonia","Psychomotor change",0.211709419203515,0.11579106536306,-0.0959183538404558,0.0959183538404558,0.402597402597403,1
"Appetite change","Psychomotor change",0.39093293528782,0.46525314428794,0.0743202090001197,0.0743202090001197,0.425574425574426,1
"Depressed mood","Psychomotor change",0.581344883149061,0.654821521505802,0.0734766383567406,0.0734766383567406,0.450549450549451,1
"Sleep problems","Guilt",0.285654027990827,0.354740118167564,0.0690860901767371,0.0690860901767371,0.498501498501498,1
"Anhedonia","Concentration problems",0.420039887231496,0.45000237162448,0.0299624843929833,0.0299624843929833,0.764235764235764,1
"Low energy","Appetite change",1.1172351251161,1.14188129186438,0.0246461667482811,0.0246461667482811,0.782217782217782,1
"Sleep problems","Concentration problems",0.451693369775511,0.474744568906914,0.023051199131403,0.023051199131403,0.791208791208791,1
"Depressed mood","Concentration problems",0.43390481233022,0.414725286862197,-0.019179525468023,0.019179525468023,0.807192807192807,1
"Concentration problems","Psychomotor change",1.36441527941039,1.35034107700662,-0.0140742024037659,0.0140742024037659,0.866133866133866,1
"Appetite change","Suicidality",0.247829459769165,0.22626293764199,-0.0215665221271752,0.0215665221271752,0.872127872127872,1
"Anhedonia","Guilt",0.408117321433951,0.397068750052342,-0.0110485713816095,0.0110485713816095,0.921078921078921,1
"Concentration problems","Suicidality",0.444041440216604,0.43388234417545,-0.010159096041154,0.010159096041154,0.93006993006993,1
"Anhedonia","Low energy",1.28924641532587,1.28614676609852,-0.00309964922735406,0.00309964922735406,0.963036963036963,1
"Guilt","Suicidality",1.40907365288569,1.40675916125457,-0.00231449163111286,0.00231449163111286,0.995004995004995,1
"Anhedonia","Suicidality",0,0,0,0,1,1
"Low energy","Suicidality",0,0,0,0,1,1
