"slow_group","symptom","active","n","prevalence","lower","upper","symptom_label"
"Low Slow Risk","anh",4517,11840,0.381503378378378,0.372793508182739,0.390290115508438,"Anhedonia"
"High Slow Risk","anh",7557,11827,0.638961697810096,0.630261713535247,0.647571440720178,"Anhedonia"
"Low Slow Risk","dep",2422,11835,0.204647232784115,0.197475082605036,0.212011054673096,"Depressed mood"
"High Slow Risk","dep",5786,11816,0.489675016926202,0.480666403663782,0.498690341445696,"Depressed mood"
"Low Slow Risk","slp",4836,11831,0.408756656242076,0.39992930946509,0.417643236182248,"Sleep problems"
"High Slow Risk","slp",7177,11795,0.608478168715557,0.599635761315846,0.617249939617691,"Sleep problems"
"Low Slow Risk","ene",6371,11824,0.538819350473613,0.529823091067742,0.547790394300326,"Low energy"
"High Slow Risk","ene",8667,11803,0.734304837753114,0.72626093859113,0.742196270671038,"Low energy"
"Low Slow Risk","app",3215,11801,0.27243453944581,0.26447696425527,0.280540220538284,"Appetite change"
"High Slow Risk","app",5815,11768,0.494136641740313,0.485106927142051,0.503170183071951,"Appetite change"
"Low Slow Risk","glt",1670,11834,0.141118810207876,0.134962696958525,0.147507842155607,"Guilt"
"High Slow Risk","glt",3980,11827,0.336518136467405,0.328056555517713,0.345085882113645,"Guilt"
"Low Slow Risk","con",2155,11842,0.181979395372403,0.175133783283951,0.189031267701811,"Concentration problems"
"High Slow Risk","con",4624,11831,0.390837629955202,0.382082126902361,0.399663998807261,"Concentration problems"
"Low Slow Risk","mot",1064,11842,0.0898496875527783,0.0848312999365629,0.0951340884431097,"Psychomotor change"
"High Slow Risk","mot",3542,11841,0.299130141035386,0.290949239282228,0.307441332973383,"Psychomotor change"
"Low Slow Risk","sui",342,11828,0.0289144403111261,0.0260442043376983,0.032090572164729,"Suicidality"
"High Slow Risk","sui",1496,11810,0.126672311600339,0.120794814702567,0.132792595392891,"Suicidality"
