"symptom","model","estimate","std_error","lower","upper","p_value","symptom_label"
"anh","Covariates only",0.867839596149201,0.0175507685157816,0.83344072195727,0.902238470341133,0,"Anhedonia"
"dep","Covariates only",1.07611321411295,0.0190289389344484,1.03881717913742,1.11340924908848,0,"Depressed mood"
"slp","Covariates only",0.780847228004779,0.0169422670373366,0.747640994795139,0.814053461214419,0,"Sleep problems"
"ene","Covariates only",0.82377692919269,0.0182676962573078,0.787972902447849,0.85958095593753,0,"Low energy"
"app","Covariates only",0.793353514487281,0.0172370795899523,0.759569459292324,0.827137569682238,0,"Appetite change"
"glt","Covariates only",0.9981637601362,0.0197307218876267,0.959492255847476,1.03683526442493,0,"Guilt"
"con","Covariates only",0.875145250922463,0.0181403429845057,0.839590832005628,0.910699669839298,0,"Concentration problems"
"mot","Covariates only",1.05594536657661,0.0209231810502775,1.01493668527605,1.09695404787716,0,"Psychomotor change"
"sui","Covariates only",1.03404520604471,0.0273153284652313,0.980508146026972,1.08758226606244,0,"Suicidality"
"anh","Covariates + other symptoms",0.215072472110381,0.0227734107322467,0.170437407270039,0.259707536950722,3.58756685834892e-21,"Anhedonia"
"dep","Covariates + other symptoms",0.441511551889733,0.02440651580227,0.393675659929176,0.48934744385029,3.82746375915556e-73,"Depressed mood"
"slp","Covariates + other symptoms",0.221273273440536,0.0209340076308283,0.180243372432026,0.262303174449047,4.10324723632006e-26,"Sleep problems"
"ene","Covariates + other symptoms",0.21481181809835,0.0232639792043463,0.169215256720742,0.260408379475957,2.61523903194299e-20,"Low energy"
"app","Covariates + other symptoms",0.225566529020277,0.0210659066477952,0.184278110688916,0.266854947351639,9.37020492695256e-27,"Appetite change"
"glt","Covariates + other symptoms",0.321883205448524,0.0246034554288089,0.273661318912822,0.370105091984226,4.12696844201009e-39,"Guilt"
"con","Covariates + other symptoms",0.216532177448459,0.0226732307670387,0.172093461731898,0.26097089316502,1.29540475976668e-21,"Concentration problems"
"mot","Covariates + other symptoms",0.431326318027003,0.0255971251231543,0.381156874677855,0.481495761376151,1.03896718263138e-63,"Psychomotor change"
"sui","Covariates + other symptoms",0.284627257987878,0.0334433325806706,0.219079530606769,0.350174985368988,1.72837940195948e-17,"Suicidality"
