"symptom","model","difference","lower","upper","symptom_label"
"anh","Group-specific interactions",0.296424169522282,0.165837405354467,0.427010933690097,"Anhedonia"
"dep","Group-specific interactions",0.365670900585895,0.175194853691148,0.556146947480643,"Depressed mood"
"slp","Group-specific interactions",-0.177953921484969,-0.301220728346472,-0.054687114623466,"Sleep problems"
"ene","Group-specific interactions",0.0738944684753129,-0.0290663254066963,0.176855262357322,"Low energy"
"app","Group-specific interactions",0.155402899699814,0.00463639253961551,0.306169406860012,"Appetite change"
"glt","Group-specific interactions",0.187530531339988,-0.0117397029471147,0.386800765627091,"Guilt"
"con","Group-specific interactions",0.161278573627669,-0.0149372841191611,0.337494431374499,"Concentration problems"
"mot","Group-specific interactions",0.561057708733367,0.323100894596575,0.79901452287016,"Psychomotor change"
"sui","Group-specific interactions",0.473318837641908,0.0579216317864188,0.888716043497397,"Suicidality"
"anh","Common interactions",0.314967501103471,0.245450212512905,0.384484789694037,"Anhedonia"
"dep","Common interactions",0.56736888335706,0.492055491269643,0.642682275444476,"Depressed mood"
"slp","Common interactions",0.07546703429569,0.0098743751663013,0.141059693425079,"Sleep problems"
"ene","Common interactions",0.07854998557919,0.00818212304558531,0.148917848112795,"Low energy"
"app","Common interactions",0.261529987918732,0.195041370230733,0.328018605606732,"Appetite change"
"glt","Common interactions",0.156054389252106,0.0753096801311829,0.23679909837303,"Guilt"
"con","Common interactions",0.199626882391381,0.125681095979681,0.273572668803081,"Concentration problems"
"mot","Common interactions",0.691823586703555,0.603652103853684,0.779995069553426,"Psychomotor change"
"sui","Common interactions",0.486856493566941,0.35124963253116,0.622463354602721,"Suicidality"
