"node_1","node_2","omega_group_1","omega_group_2","omega_difference_group1_minus_group2","effective_J_group_1","effective_J_group_2","effective_J_difference_group1_minus_group2","absolute_effective_J_difference"
"anh","dep",1.79710746247102,1.79710746247102,0,1.79710746247102,1.88766835717123,-0.0905608947002075,0.0905608947002075
"dep","sui",1.48462338060907,1.48462338060907,0,1.48462338060907,1.55943739393242,-0.074814013323353,0.074814013323353
"glt","sui",1.38937515075707,1.38937515075707,0,1.38937515075707,1.4593893593419,-0.0700142085848277,0.0700142085848277
"con","mot",1.32837957945823,1.32837957945823,0,1.32837957945823,1.39532006339112,-0.0669404839328924,0.0669404839328924
"slp","ene",1.31674635809959,1.31674635809959,0,1.31674635809959,1.38310061390952,-0.066354255809931,0.066354255809931
"anh","ene",1.28596801479733,1.28596801479733,0,1.28596801479733,1.35077127025528,-0.064803255457949,0.064803255457949
"dep","glt",1.13169078612787,1.13169078612787,0,1.13169078612787,1.18871961287082,-0.0570288267429493,0.0570288267429493
"ene","app",1.1187721092078,1.1187721092078,0,1.1187721092078,1.17514993039618,-0.0563778211883812,0.0563778211883812
"mot","sui",0.851159558317562,0.851159558317562,0,0.851159558317562,0.894051690671119,-0.0428921323535569,0.0428921323535569
"ene","con",0.706758456071394,0.706758456071394,0,0.706758456071394,0.742373843272978,-0.0356153872015846,0.0356153872015846
"glt","con",0.680580520290185,0.680580520290185,0,0.680580520290185,0.714876733577434,-0.0342962132872484,0.0342962132872484
"glt","mot",0.659574980053949,0.659574980053949,0,0.659574980053949,0.692812669820941,-0.0332376897669915,0.0332376897669915
"dep","slp",0.622961536237043,0.622961536237043,0,0.622961536237043,0.654354179839931,-0.0313926436028875,0.0313926436028875
"slp","app",0.604838992597346,0.604838992597346,0,0.604838992597346,0.63531839433767,-0.0304794017403236,0.0304794017403236
"dep","mot",0.603637545565442,0.603637545565442,0,0.603637545565442,0.634056403281318,-0.0304188577158753,0.0304188577158753
"anh","app",0.60329129989465,0.60329129989465,0,0.60329129989465,0.633692709395331,-0.0304014095006807,0.0304014095006807
"ene","mot",0.560729211103485,0.560729211103485,0,0.560729211103485,0.588985806828846,-0.028256595725361,0.028256595725361
"app","glt",0.506151037627257,0.506151037627257,0,0.506151037627257,0.531657297980734,-0.0255062603534773,0.0255062603534773
"anh","slp",0.483484626105626,0.483484626105626,0,0.483484626105626,0.507848667337594,-0.0243640412319677,0.0243640412319677
"slp","con",0.466427233102962,0.466427233102962,0,0.466427233102962,0.489931708168837,-0.0235044750658742,0.0235044750658742
"con","sui",0.461558525919624,0.461558525919624,0,0.461558525919624,0.484817654233696,-0.0232591283140721,0.0232591283140721
"dep","ene",0.455639586060875,0.455639586060875,0,0.455639586060875,0.478600443681358,-0.0229608576204832,0.0229608576204832
"app","mot",0.432834347021902,0.432834347021902,0,0.432834347021902,0.454645989643088,-0.0218116426211856,0.0218116426211856
"anh","con",0.426888986941394,0.426888986941394,0,0.426888986941394,0.448401027485659,-0.021512040544265,0.021512040544265
"app","con",0.419233819102163,0.419233819102163,0,0.419233819102163,0.44036009593275,-0.0211262768305872,0.0211262768305872
"anh","glt",0.406688212767347,0.406688212767347,0,0.406688212767347,0.427182284035405,-0.0204940712680576,0.0204940712680576
"dep","con",0.399474809984771,0.399474809984771,0,0.399474809984771,0.419605379223337,-0.0201305692385658,0.0201305692385658
"ene","glt",0.367124005028207,0.367124005028207,0,0.367124005028207,0.385624333503591,-0.0185003284753841,0.0185003284753841
"slp","mot",0.338615582956966,0.338615582956966,0,0.338615582956966,0.355679298284178,-0.0170637153272127,0.0170637153272127
"slp","glt",0.326783297841885,0.326783297841885,0,0.326783297841885,0.34325075370841,-0.0164674558665256,0.0164674558665256
"dep","app",0.31267481983532,0.31267481983532,0,0.31267481983532,0.32843131299215,-0.01575649315683,0.01575649315683
"slp","sui",0.303509423227317,0.303509423227317,0,0.303509423227317,0.318804048335388,-0.0152946251080703,0.0152946251080703
"app","sui",0.285148404539012,0.285148404539012,0,0.285148404539012,0.299517770409811,-0.0143693658707992,0.0143693658707992
"ene","sui",-0.268489041012437,-0.268489041012437,0,-0.268489041012437,-0.282018898452267,0.0135298574398297,0.0135298574398297
"anh","mot",0.145142017077777,0.145142017077777,0,0.145142017077777,0.152456098845087,-0.0073140817673101,0.0073140817673101
"anh","sui",0.118401144453709,0.118401144453709,0,0.118401144453709,0.124367684462682,-0.00596654000897251,0.00596654000897251
