                            Measure         Value
logl                           logl -9.357351e+04
unrestricted.logl unrestricted.logl -9.355523e+04
baseline.logl         baseline.logl -1.166136e+05
nvar                           nvar  9.000000e+00
nobs                           nobs  9.000000e+01
npar                           npar  8.200000e+01
df                               df  8.000000e+00
objective                 objective  8.037925e+00
chisq                         chisq  3.656279e+01
pvalue                       pvalue  1.384731e-05
baseline.chisq       baseline.chisq  4.611672e+04
baseline.npar         baseline.npar  1.800000e+01
baseline.df             baseline.df  7.200000e+01
baseline.pvalue     baseline.pvalue  0.000000e+00
nfi                             nfi  9.992072e-01
pnfi                           pnfi  1.110230e-01
tli                             tli  9.944171e-01
nnfi                           nnfi  9.944171e-01
rfi                             rfi  9.928645e-01
ifi                             ifi  9.993805e-01
rni                             rni  9.993797e-01
cfi                             cfi  9.993797e-01
rmsea                         rmsea  1.751261e-02
rmsea.ci.lower       rmsea.ci.lower  1.200485e-02
rmsea.ci.upper       rmsea.ci.upper  2.345527e-02
rmsea.pvalue           rmsea.pvalue  1.000000e+00
srmr                           srmr  5.511512e-03
aic.ll                       aic.ll  1.873110e+05
aic.ll2                     aic.ll2  1.873116e+05
aic.x                         aic.x  2.056279e+01
aic.x2                       aic.x2  2.005628e+02
bic                             bic  1.879716e+05
bic2                           bic2  1.877110e+05
ebic.25                     ebic.25  1.881517e+05
ebic.5                       ebic.5  1.883319e+05
ebic.75                     ebic.75  1.884760e+05
ebic1                         ebic1  1.886923e+05
