"model","node_1","node_2","J_group_1","J_group_2","J_difference_group2_minus_group1","absolute_J_difference"
"free_J_free_h","dep","sui",1.77676792184218,1.4283368291705,-0.348431092671676,0.348431092671676
"free_J_free_h","glt","mot",0.451265834958788,0.780445634952213,0.329179799993425,0.329179799993425
"free_J_free_h","dep","glt",1.35492742407374,1.03459213193063,-0.320335292143112,0.320335292143112
"free_J_free_h","glt","con",0.55566104254903,0.788430530667395,0.232769488118366,0.232769488118366
"free_J_free_h","slp","sui",0.139900317549849,0.363308262102129,0.223407944552279,0.223407944552279
"free_J_free_h","dep","slp",0.511010330111969,0.734227371565851,0.223217041453882,0.223217041453882
"free_J_free_h","app","con",0.306309763300117,0.526191922620599,0.219882159320482,0.219882159320482
"free_J_free_h","slp","mot",0.458828104681429,0.255585737400709,-0.20324236728072,0.20324236728072
"free_J_free_h","ene","sui",-0.389327442243579,-0.196347179184547,0.192980263059032,0.192980263059032
"free_J_free_h","ene","con",0.815515712874822,0.625325459266445,-0.190190253608377,0.190190253608377
"free_J_free_h","slp","app",0.53559885834134,0.70519078915307,0.169591930811729,0.169591930811729
"free_J_free_h","ene","glt",0.458603801857465,0.305792191679473,-0.152811610177993,0.152811610177993
"free_J_free_h","anh","dep",1.77196656097083,1.91003946758782,0.138072906616987,0.138072906616987
"free_J_free_h","ene","mot",0.507887144830122,0.645744162201571,0.137857017371449,0.137857017371449
"free_J_free_h","slp","ene",1.29211152984263,1.42777561856625,0.135664088723616,0.135664088723616
"free_J_free_h","mot","sui",0.785989356188946,0.909380848197194,0.123391492008249,0.123391492008249
"free_J_free_h","anh","mot",0.234863027342553,0.114550872258906,-0.120312155083647,0.120312155083647
"free_J_free_h","dep","app",0.390161253989111,0.272715754191979,-0.117445499797132,0.117445499797132
"free_J_free_h","dep","ene",0.410605895628835,0.520184349252467,0.109578453623632,0.109578453623632
"free_J_free_h","anh","app",0.671788282445083,0.562345402479518,-0.109442879965564,0.109442879965564
"free_J_free_h","app","glt",0.450856248773327,0.557955653127355,0.107099404354029,0.107099404354029
"free_J_free_h","anh","slp",0.449875342702997,0.552952443531365,0.103077100828368,0.103077100828368
"free_J_free_h","anh","sui",0.187402504937374,0.0857987116028168,-0.101603793334557,0.101603793334557
"free_J_free_h","app","mot",0.38715932607576,0.469418152581555,0.0822588265057949,0.0822588265057949
"free_J_free_h","dep","mot",0.596763070959625,0.667157782326466,0.070394711366841,0.070394711366841
"free_J_free_h","slp","glt",0.304582155768907,0.365666955015244,0.0610847992463371,0.0610847992463371
"free_J_free_h","app","sui",0.323474174408487,0.273363986345229,-0.0501101880632577,0.0501101880632577
"free_J_free_h","anh","glt",0.432070918500648,0.408135917693842,-0.0239350008068057,0.0239350008068057
"free_J_free_h","anh","con",0.431270150466504,0.453351502148645,0.0220813516821408,0.0220813516821408
"free_J_free_h","glt","sui",1.45665300483077,1.43536053963322,-0.0212924651975508,0.0212924651975508
"free_J_free_h","con","mot",1.37965991968568,1.36242509035765,-0.0172348293280349,0.0172348293280349
"free_J_free_h","dep","con",0.429632117385772,0.412538213377623,-0.0170939040081493,0.0170939040081493
"free_J_free_h","con","sui",0.481741753899618,0.465128799861569,-0.0166129540380491,0.0166129540380491
"free_J_free_h","ene","app",1.14303630031574,1.15559571722999,0.0125594169142542,0.0125594169142542
"free_J_free_h","slp","con",0.470356516710771,0.478571861485926,0.00821534477515501,0.00821534477515501
"free_J_free_h","anh","ene",1.31447209283965,1.31139819604653,-0.00307389679311676,0.00307389679311676
