"model","group","node_1","node_2","J"
"equal_J_equal_h","Low Slow Risk","anh","dep",1.88893344175708
"equal_J_equal_h","Low Slow Risk","anh","slp",0.498593653562995
"equal_J_equal_h","Low Slow Risk","dep","slp",0.650679610460145
"equal_J_equal_h","Low Slow Risk","anh","ene",1.32385770913419
"equal_J_equal_h","Low Slow Risk","dep","ene",0.480133891054567
"equal_J_equal_h","Low Slow Risk","slp","ene",1.34525828697671
"equal_J_equal_h","Low Slow Risk","anh","app",0.638537652758983
"equal_J_equal_h","Low Slow Risk","dep","app",0.360404220483822
"equal_J_equal_h","Low Slow Risk","slp","app",0.624059187255975
"equal_J_equal_h","Low Slow Risk","ene","app",1.14950793802765
"equal_J_equal_h","Low Slow Risk","anh","glt",0.428433432211552
"equal_J_equal_h","Low Slow Risk","dep","glt",1.18620803789741
"equal_J_equal_h","Low Slow Risk","slp","glt",0.340347513363015
"equal_J_equal_h","Low Slow Risk","ene","glt",0.380613755443309
"equal_J_equal_h","Low Slow Risk","app","glt",0.529668131903401
"equal_J_equal_h","Low Slow Risk","anh","con",0.450367808785464
"equal_J_equal_h","Low Slow Risk","dep","con",0.439025843479099
"equal_J_equal_h","Low Slow Risk","slp","con",0.484555281646792
"equal_J_equal_h","Low Slow Risk","ene","con",0.726054966113576
"equal_J_equal_h","Low Slow Risk","app","con",0.442942218249153
"equal_J_equal_h","Low Slow Risk","glt","con",0.707716699601279
"equal_J_equal_h","Low Slow Risk","anh","mot",0.206854712216765
"equal_J_equal_h","Low Slow Risk","dep","mot",0.710239448749906
"equal_J_equal_h","Low Slow Risk","slp","mot",0.3706207410055
"equal_J_equal_h","Low Slow Risk","ene","mot",0.59028430818342
"equal_J_equal_h","Low Slow Risk","app","mot",0.489709260452046
"equal_J_equal_h","Low Slow Risk","glt","mot",0.705060235312836
"equal_J_equal_h","Low Slow Risk","con","mot",1.40323547665611
"equal_J_equal_h","Low Slow Risk","anh","sui",0.152792597483859
"equal_J_equal_h","Low Slow Risk","dep","sui",1.58218727584104
"equal_J_equal_h","Low Slow Risk","slp","sui",0.324306270843892
"equal_J_equal_h","Low Slow Risk","ene","sui",-0.254166153803299
"equal_J_equal_h","Low Slow Risk","app","sui",0.324810050573045
"equal_J_equal_h","Low Slow Risk","glt","sui",1.45699247292193
"equal_J_equal_h","Low Slow Risk","con","sui",0.498619438548123
"equal_J_equal_h","Low Slow Risk","mot","sui",0.94079256738303
"equal_J_equal_h","High Slow Risk","anh","dep",1.88893344175708
"equal_J_equal_h","High Slow Risk","anh","slp",0.498593653562995
"equal_J_equal_h","High Slow Risk","dep","slp",0.650679610460145
"equal_J_equal_h","High Slow Risk","anh","ene",1.32385770913419
"equal_J_equal_h","High Slow Risk","dep","ene",0.480133891054567
"equal_J_equal_h","High Slow Risk","slp","ene",1.34525828697671
"equal_J_equal_h","High Slow Risk","anh","app",0.638537652758983
"equal_J_equal_h","High Slow Risk","dep","app",0.360404220483822
"equal_J_equal_h","High Slow Risk","slp","app",0.624059187255975
"equal_J_equal_h","High Slow Risk","ene","app",1.14950793802765
"equal_J_equal_h","High Slow Risk","anh","glt",0.428433432211552
"equal_J_equal_h","High Slow Risk","dep","glt",1.18620803789741
"equal_J_equal_h","High Slow Risk","slp","glt",0.340347513363015
"equal_J_equal_h","High Slow Risk","ene","glt",0.380613755443309
"equal_J_equal_h","High Slow Risk","app","glt",0.529668131903401
"equal_J_equal_h","High Slow Risk","anh","con",0.450367808785464
"equal_J_equal_h","High Slow Risk","dep","con",0.439025843479099
"equal_J_equal_h","High Slow Risk","slp","con",0.484555281646792
"equal_J_equal_h","High Slow Risk","ene","con",0.726054966113576
"equal_J_equal_h","High Slow Risk","app","con",0.442942218249153
"equal_J_equal_h","High Slow Risk","glt","con",0.707716699601279
"equal_J_equal_h","High Slow Risk","anh","mot",0.206854712216765
"equal_J_equal_h","High Slow Risk","dep","mot",0.710239448749906
"equal_J_equal_h","High Slow Risk","slp","mot",0.3706207410055
"equal_J_equal_h","High Slow Risk","ene","mot",0.59028430818342
"equal_J_equal_h","High Slow Risk","app","mot",0.489709260452046
"equal_J_equal_h","High Slow Risk","glt","mot",0.705060235312836
"equal_J_equal_h","High Slow Risk","con","mot",1.40323547665611
"equal_J_equal_h","High Slow Risk","anh","sui",0.152792597483859
"equal_J_equal_h","High Slow Risk","dep","sui",1.58218727584104
"equal_J_equal_h","High Slow Risk","slp","sui",0.324306270843892
"equal_J_equal_h","High Slow Risk","ene","sui",-0.254166153803299
"equal_J_equal_h","High Slow Risk","app","sui",0.324810050573045
"equal_J_equal_h","High Slow Risk","glt","sui",1.45699247292193
"equal_J_equal_h","High Slow Risk","con","sui",0.498619438548123
"equal_J_equal_h","High Slow Risk","mot","sui",0.94079256738303
