"model","group","node_1","node_2","J"
"equal_J_free_h","Low Slow Risk","anh","dep",1.84667628313658
"equal_J_free_h","Low Slow Risk","anh","slp",0.492912949521143
"equal_J_free_h","Low Slow Risk","dep","slp",0.640491317003918
"equal_J_free_h","Low Slow Risk","anh","ene",1.31820139662329
"equal_J_free_h","Low Slow Risk","dep","ene",0.46909532136469
"equal_J_free_h","Low Slow Risk","slp","ene",1.34402551310341
"equal_J_free_h","Low Slow Risk","anh","app",0.618875086265317
"equal_J_free_h","Low Slow Risk","dep","app",0.325029363474711
"equal_J_free_h","Low Slow Risk","slp","app",0.619387561139956
"equal_J_free_h","Low Slow Risk","ene","app",1.14455154351889
"equal_J_free_h","Low Slow Risk","anh","glt",0.41706599845124
"equal_J_free_h","Low Slow Risk","dep","glt",1.16579319286981
"equal_J_free_h","Low Slow Risk","slp","glt",0.337654851106143
"equal_J_free_h","Low Slow Risk","ene","glt",0.377397351396867
"equal_J_free_h","Low Slow Risk","app","glt",0.520771886182989
"equal_J_free_h","Low Slow Risk","anh","con",0.435503871992561
"equal_J_free_h","Low Slow Risk","dep","con",0.412469564983341
"equal_J_free_h","Low Slow Risk","slp","con",0.481054283471808
"equal_J_free_h","Low Slow Risk","ene","con",0.722205622601565
"equal_J_free_h","Low Slow Risk","app","con",0.431115484348844
"equal_J_free_h","Low Slow Risk","glt","con",0.700930644080257
"equal_J_free_h","Low Slow Risk","anh","mot",0.155413178773263
"equal_J_free_h","Low Slow Risk","dep","mot",0.621595852574256
"equal_J_free_h","Low Slow Risk","slp","mot",0.358569213290935
"equal_J_free_h","Low Slow Risk","ene","mot",0.575729735102668
"equal_J_free_h","Low Slow Risk","app","mot",0.450815926966135
"equal_J_free_h","Low Slow Risk","glt","mot",0.682820844949782
"equal_J_free_h","Low Slow Risk","con","mot",1.37370543221784
"equal_J_free_h","Low Slow Risk","anh","sui",0.120841274126721
"equal_J_free_h","Low Slow Risk","dep","sui",1.52069824474388
"equal_J_free_h","Low Slow Risk","slp","sui",0.316462286903096
"equal_J_free_h","Low Slow Risk","ene","sui",-0.267104208720262
"equal_J_free_h","Low Slow Risk","app","sui",0.302362769932986
"equal_J_free_h","Low Slow Risk","glt","sui",1.44206981494242
"equal_J_free_h","Low Slow Risk","con","sui",0.481030261480511
"equal_J_free_h","Low Slow Risk","mot","sui",0.881766302508169
"equal_J_free_h","High Slow Risk","anh","dep",1.84667628313658
"equal_J_free_h","High Slow Risk","anh","slp",0.492912949521143
"equal_J_free_h","High Slow Risk","dep","slp",0.640491317003918
"equal_J_free_h","High Slow Risk","anh","ene",1.31820139662329
"equal_J_free_h","High Slow Risk","dep","ene",0.46909532136469
"equal_J_free_h","High Slow Risk","slp","ene",1.34402551310341
"equal_J_free_h","High Slow Risk","anh","app",0.618875086265317
"equal_J_free_h","High Slow Risk","dep","app",0.325029363474711
"equal_J_free_h","High Slow Risk","slp","app",0.619387561139956
"equal_J_free_h","High Slow Risk","ene","app",1.14455154351889
"equal_J_free_h","High Slow Risk","anh","glt",0.41706599845124
"equal_J_free_h","High Slow Risk","dep","glt",1.16579319286981
"equal_J_free_h","High Slow Risk","slp","glt",0.337654851106143
"equal_J_free_h","High Slow Risk","ene","glt",0.377397351396867
"equal_J_free_h","High Slow Risk","app","glt",0.520771886182989
"equal_J_free_h","High Slow Risk","anh","con",0.435503871992561
"equal_J_free_h","High Slow Risk","dep","con",0.412469564983341
"equal_J_free_h","High Slow Risk","slp","con",0.481054283471808
"equal_J_free_h","High Slow Risk","ene","con",0.722205622601565
"equal_J_free_h","High Slow Risk","app","con",0.431115484348844
"equal_J_free_h","High Slow Risk","glt","con",0.700930644080257
"equal_J_free_h","High Slow Risk","anh","mot",0.155413178773263
"equal_J_free_h","High Slow Risk","dep","mot",0.621595852574256
"equal_J_free_h","High Slow Risk","slp","mot",0.358569213290935
"equal_J_free_h","High Slow Risk","ene","mot",0.575729735102668
"equal_J_free_h","High Slow Risk","app","mot",0.450815926966135
"equal_J_free_h","High Slow Risk","glt","mot",0.682820844949782
"equal_J_free_h","High Slow Risk","con","mot",1.37370543221784
"equal_J_free_h","High Slow Risk","anh","sui",0.120841274126721
"equal_J_free_h","High Slow Risk","dep","sui",1.52069824474388
"equal_J_free_h","High Slow Risk","slp","sui",0.316462286903096
"equal_J_free_h","High Slow Risk","ene","sui",-0.267104208720262
"equal_J_free_h","High Slow Risk","app","sui",0.302362769932986
"equal_J_free_h","High Slow Risk","glt","sui",1.44206981494242
"equal_J_free_h","High Slow Risk","con","sui",0.481030261480511
"equal_J_free_h","High Slow Risk","mot","sui",0.881766302508169
