"model","group","node_1","node_2","J"
"free_J_free_h","Low Slow Risk","anh","dep",1.77196656097083
"free_J_free_h","Low Slow Risk","anh","slp",0.449875342702997
"free_J_free_h","Low Slow Risk","dep","slp",0.511010330111969
"free_J_free_h","Low Slow Risk","anh","ene",1.31447209283965
"free_J_free_h","Low Slow Risk","dep","ene",0.410605895628835
"free_J_free_h","Low Slow Risk","slp","ene",1.29211152984263
"free_J_free_h","Low Slow Risk","anh","app",0.671788282445083
"free_J_free_h","Low Slow Risk","dep","app",0.390161253989111
"free_J_free_h","Low Slow Risk","slp","app",0.53559885834134
"free_J_free_h","Low Slow Risk","ene","app",1.14303630031574
"free_J_free_h","Low Slow Risk","anh","glt",0.432070918500648
"free_J_free_h","Low Slow Risk","dep","glt",1.35492742407374
"free_J_free_h","Low Slow Risk","slp","glt",0.304582155768907
"free_J_free_h","Low Slow Risk","ene","glt",0.458603801857465
"free_J_free_h","Low Slow Risk","app","glt",0.450856248773327
"free_J_free_h","Low Slow Risk","anh","con",0.431270150466504
"free_J_free_h","Low Slow Risk","dep","con",0.429632117385772
"free_J_free_h","Low Slow Risk","slp","con",0.470356516710771
"free_J_free_h","Low Slow Risk","ene","con",0.815515712874822
"free_J_free_h","Low Slow Risk","app","con",0.306309763300117
"free_J_free_h","Low Slow Risk","glt","con",0.55566104254903
"free_J_free_h","Low Slow Risk","anh","mot",0.234863027342553
"free_J_free_h","Low Slow Risk","dep","mot",0.596763070959625
"free_J_free_h","Low Slow Risk","slp","mot",0.458828104681429
"free_J_free_h","Low Slow Risk","ene","mot",0.507887144830122
"free_J_free_h","Low Slow Risk","app","mot",0.38715932607576
"free_J_free_h","Low Slow Risk","glt","mot",0.451265834958788
"free_J_free_h","Low Slow Risk","con","mot",1.37965991968568
"free_J_free_h","Low Slow Risk","anh","sui",0.187402504937374
"free_J_free_h","Low Slow Risk","dep","sui",1.77676792184218
"free_J_free_h","Low Slow Risk","slp","sui",0.139900317549849
"free_J_free_h","Low Slow Risk","ene","sui",-0.389327442243579
"free_J_free_h","Low Slow Risk","app","sui",0.323474174408487
"free_J_free_h","Low Slow Risk","glt","sui",1.45665300483077
"free_J_free_h","Low Slow Risk","con","sui",0.481741753899618
"free_J_free_h","Low Slow Risk","mot","sui",0.785989356188946
"free_J_free_h","High Slow Risk","anh","dep",1.91003946758782
"free_J_free_h","High Slow Risk","anh","slp",0.552952443531365
"free_J_free_h","High Slow Risk","dep","slp",0.734227371565851
"free_J_free_h","High Slow Risk","anh","ene",1.31139819604653
"free_J_free_h","High Slow Risk","dep","ene",0.520184349252467
"free_J_free_h","High Slow Risk","slp","ene",1.42777561856625
"free_J_free_h","High Slow Risk","anh","app",0.562345402479518
"free_J_free_h","High Slow Risk","dep","app",0.272715754191979
"free_J_free_h","High Slow Risk","slp","app",0.70519078915307
"free_J_free_h","High Slow Risk","ene","app",1.15559571722999
"free_J_free_h","High Slow Risk","anh","glt",0.408135917693842
"free_J_free_h","High Slow Risk","dep","glt",1.03459213193063
"free_J_free_h","High Slow Risk","slp","glt",0.365666955015244
"free_J_free_h","High Slow Risk","ene","glt",0.305792191679473
"free_J_free_h","High Slow Risk","app","glt",0.557955653127355
"free_J_free_h","High Slow Risk","anh","con",0.453351502148645
"free_J_free_h","High Slow Risk","dep","con",0.412538213377623
"free_J_free_h","High Slow Risk","slp","con",0.478571861485926
"free_J_free_h","High Slow Risk","ene","con",0.625325459266445
"free_J_free_h","High Slow Risk","app","con",0.526191922620599
"free_J_free_h","High Slow Risk","glt","con",0.788430530667395
"free_J_free_h","High Slow Risk","anh","mot",0.114550872258906
"free_J_free_h","High Slow Risk","dep","mot",0.667157782326466
"free_J_free_h","High Slow Risk","slp","mot",0.255585737400709
"free_J_free_h","High Slow Risk","ene","mot",0.645744162201571
"free_J_free_h","High Slow Risk","app","mot",0.469418152581555
"free_J_free_h","High Slow Risk","glt","mot",0.780445634952213
"free_J_free_h","High Slow Risk","con","mot",1.36242509035765
"free_J_free_h","High Slow Risk","anh","sui",0.0857987116028168
"free_J_free_h","High Slow Risk","dep","sui",1.4283368291705
"free_J_free_h","High Slow Risk","slp","sui",0.363308262102129
"free_J_free_h","High Slow Risk","ene","sui",-0.196347179184547
"free_J_free_h","High Slow Risk","app","sui",0.273363986345229
"free_J_free_h","High Slow Risk","glt","sui",1.43536053963322
"free_J_free_h","High Slow Risk","con","sui",0.465128799861569
"free_J_free_h","High Slow Risk","mot","sui",0.909380848197194
